Rank,Name,Country,Pts,Singles Record (Career),Winning Percentage,Career Earnings,Link to Wikipedia
1,Roger Federer ,Switzerland ,7290,594-143,80.60%,$41721169,http://en.wikipedia.org/wiki/Roger_Federer 
2,Rafael Nadal ,Spain ,4875,309-73,80.89%,$19470198,http://en.wikipedia.org/wiki/Rafael_Nadal 
3,Andy Roddick ,USA ,2980,436-136,76.22%,$14069938,http://en.wikipedia.org/wiki/Andy_Roddick 
4,Nikolay Davydenko ,Russia ,2825,303-202,60.00%,$8637353,http://en.wikipedia.org/wiki/Nikolay_Davydenko 
5,Fernando Gonzalez ,Chile ,2755,294-160,64.76%,$6742996,http://en.wikipedia.org/wiki/Fernando_Gonzalez 
6,Tommy Robredo ,Spain ,2645,320-194,62.26%,$6538755,http://en.wikipedia.org/wiki/Tommy_Robredo 
7,Novak Djokovic ,Serbia,2540,158-59,72.81%,$8035331,http://en.wikipedia.org/wiki/Novak_Djokovic 
8,Ivan Ljubicic ,Croatia ,2270,340-223,60.39%,$7090571,http://en.wikipedia.org/wiki/Ivan_Ljubicic 
9,James Blake ,USA ,2150,275-165,62.50%,$5848841,http://en.wikipedia.org/wiki/James_Blake 
10,Tommy Haas ,Germany ,2135,416-224,65.00%,$8753953,http://en.wikipedia.org/wiki/Tommy_Haas 
11,Andy Murray ,UK,2125,124-60,67.39%,$2592451,"http://en.wikipedia.org/wiki/Andy_Murray_%28tennis%29"
12,David Nalbandian ,Argentina ,1805,272-134,67.00%,$8893109,http://en.wikipedia.org/wiki/David_Nalbandian 
13,Mario Ancic ,Croatia ,1775,189-121,60.97%,$3694825,http://en.wikipedia.org/wiki/Mario_Ancic 
14,Tomas Berdych ,Czech Republic ,1715,167-108,60.73%,$4007728,http://en.wikipedia.org/wiki/Tomas_Berdych 
15,Richard Gasquet ,France ,1620,149-98,60.32%,$3592219,http://en.wikipedia.org/wiki/Richard_Gasquet 
16,David Ferrer ,Spain ,1615,242-156,60.80%,$5733751,http://en.wikipedia.org/wiki/David_Ferrer 
17,Mikhail Youzhny ,Russia ,1545,249-189,56.85%,$5016389,http://en.wikipedia.org/wiki/Mikhail_Youzhny 
18,Marcos Baghdatis ,Cyprus,1315,109-64,63.01%,$2584746,http://en.wikipedia.org/wiki/Marcos_Baghdatis 
19,Lleyton Hewitt ,Australia ,1250,482-159,75.20%,$17530263,http://en.wikipedia.org/wiki/Lleyton_Hewitt 
19,Jarkko Nieminen ,Finland ,1250,235-172,57.74%,$3811532,http://en.wikipedia.org/wiki/Jarkko_Nieminen 
65,Florent Serra ,France ,565,58-72,44.62%,$1256408,http://en.wikipedia.org/wiki/Florent_Serra 
21,Juan Carlos Ferrero ,Spain ,1230,372-192,65.96%,$11620750,http://en.wikipedia.org/wiki/Juan_Carlos_Ferrero 
23,Dmitry Tursunov ,Russia ,1120,126-104,54.78%,$2592364,http://en.wikipedia.org/wiki/Dmitry_Tursunov 
29,Guillermo Canas ,Argentina ,1007,243-174,58.27%,$5045583,http://en.wikipedia.org/wiki/Guillermo_Canas 
22,Juan Ignacio Chela,Argentina ,1125,247-200,55.26%,$4458443,http://en.wikipedia.org/wiki/Juan_Ignacio_Chela
24,Mardy Fish ,USA ,1109,158-135,53.92%,$2823627,http://en.wikipedia.org/wiki/Mardy_Fish 
25,Dominik Hrbaty ,Slovakia,1083,350-301,53.76%,$6736545,http://en.wikipedia.org/wiki/Dominik_Hrbaty 
26,Radek Stepanek ,Czech Republic ,1070,197-144,57.77%,$4593186,http://en.wikipedia.org/wiki/Radek_Stepanek 
26,Marat Safin ,Russia ,1070,395-236,62.60%,$13715502,http://en.wikipedia.org/wiki/Marat_Safin 
28,Jurgen Melzer ,Austria,1050,147-157,48.36%,$2578569,http://en.wikipedia.org/wiki/Jurgen_Melzer 
31,Nicolas Almagro ,Spain ,940,108-87,55.38%,$2108854,http://en.wikipedia.org/wiki/Nicolas_Almagro 
30,Robin Soderling ,Sweden ,1003,149-110,57.53%,$2680559,http://en.wikipedia.org/wiki/Robin_Soderling 
32,Xavier Malisse ,Belgium ,935,204-168,54.84%,$3375607,http://en.wikipedia.org/wiki/Xavier_Malisse 
33,Agustin Calleri ,Argentina ,913,204-170,54.55%,$3543103,http://en.wikipedia.org/wiki/Agustin_Calleri 
34,Carlos Moya ,Spain ,910,557-299,65.07%,$13113638,http://en.wikipedia.org/wiki/Carlos_Moya 
35,Fernando Verdasco ,Spain ,895,167-138,54.75%,$3006323,http://en.wikipedia.org/wiki/Fernando_Verdasco 
36,Stanislas Wawrinka, Switzerland ,875,102-89,53.40%,$2207642,http://en.wikipedia.org/wiki/Stanislas_Wawrinka
37,Jose Acasuso ,Argentina ,850,153-139,52.40%,$2723675,http://en.wikipedia.org/wiki/Jose_Acasuso 
37,Olivier Rochus ,Belgium ,850,173-180,49.01%,$3178522,http://en.wikipedia.org/wiki/Olivier_Rochus 
37,Gilles Simon ,France ,850,84-72,53.85%,$1283216,http://en.wikipedia.org/wiki/GillesSimon 
40,Jonas Bjorkman ,Sweden,803,413-358,53.57%,$14386244,http://en.wikipedia.org/wiki/Jonas_Bjorkman 
41,Florian Mayer ,Germany ,790,74-71,51.03%,$1313429,http://en.wikipedia.org/wiki/Florian_Mayer 
42,Julien Benneteau ,France ,782,82-102,44.57%,$2099394,http://en.wikipedia.org/wiki/Julien_Benneteau 
43,Gaston Gaudio ,Argentina ,775,269-189,58.73%,$5935989,http://en.wikipedia.org/wiki/Gaston_Gaudio 
44,Benjamin Becker ,Germany ,756,35-47,42.68%,$721680,http://en.wikipedia.org/wiki/Benjamin_Becker 
45,Gael Monfils ,France ,750,82-73,52.90%,$1919545,http://en.wikipedia.org/wiki/Gael_Monfils 
48,Tim Henman ,UK,720,496-274,64.42%,$11635542,http://en.wikipedia.org/wiki/Tim_Henman 
45,Robby Ginepri ,USA ,750,145-138,51.24%,$2674844,http://en.wikipedia.org/wiki/Robby_Ginepri 
47,Marc Gicquel ,France ,732,55-55,50.00%,$1170888,http://en.wikipedia.org/wiki/Marc_Gicquel 
